fp_n,tp_n,fp_mean,tp_mean,fp_median,tp_median,fp_p25,fp_p75,fp_p95,tp_p25,tp_p75,tp_p95,diff_mean,ratio,cohens_d,ttest_p,mannwhitney_p,event_type,metric
300,116,51.383424472428004,35.874370772830744,50.02845108306479,24.638454842298998,49.547259759770654,50.67789600573065,59.40830274810501,24.638454842298998,49.90650669680605,51.429674084013904,15.50905369959726,1.4323156996343183,1.498718073046324,1.7317652833040556e-23,2.0241947540953963e-18,Multiple Event,std_motion
300,116,5.709568641011285,2.0156106537833924,2.766591931057105,0.0,2.2587987753021066,4.405245431657933,22.0792476184455,0.0,3.386199157744574,5.7846404065655666,3.6939579872278925,2.8326743710617754,0.5147458969537292,5.06980246910392e-08,2.9747812341496714e-15,Multiple Event,median_motion
300,116,31.63301910243193,43.45464707588113,35.67029781241641,51.66665306761736,27.798887747419442,38.52141142415352,40.640265640091705,34.4287998428252,51.66665306761736,51.66665306761736,-11.821627973449196,0.7279548041707461,-1.1714447569920297,2.930736418045071e-20,1.0021277771598299e-17,Multiple Event,peak_ratio
300,116,18.180075452193776,63.60956618464961,19.35483870967742,97.41935483870968,12.258064516129032,23.870967741935484,29.677419354838708,15.967741935483872,97.41935483870968,97.41935483870968,-45.42949073245583,0.28580725420166486,-1.573597859821447,1.3507744374047817e-22,5.54957918631168e-16,Multiple Event,zero_motion_pct
300,116,19.85110833638899,14.988519220120642,7.158120504737693,8.307182202866372,2.867101919922633,13.905840818710956,61.349309124537406,3.4536665951889507,20.50016416457235,27.586842473868202,4.862589116268348,1.3244209147585968,0.06826814361363805,0.4271895777534077,0.08912390161912703,Multiple Event,kurt
300,116,0.10072088344084489,0.0036883543666801633,0.0021155619583124938,0.0018000988816391254,0.0008859135996129745,0.005598439400311303,1.2305443926938415,0.0006988929666408128,0.003776306794494149,0.01173036400528825,0.09703252907416472,27.307810862951968,0.3191517097970343,0.00011806401631807853,0.06902541689661294,Multiple Event,baseline_drift
300,116,0.7372318052780399,1.2680218489228183,0.6747938001205307,0.9647286101017465,0.35862347077158024,0.9577387375304323,1.6165027090896462,0.619147098593323,1.8746845600516568,2.862089062080141,-0.5307900436447784,0.5814030774819193,-0.7308500931928371,5.117275022053831e-09,1.0188162343329261e-08,Multiple Event,snr_proxy
278,113,72.83330705061738,62.68671520217463,74.25984531942352,63.70139968895801,62.26348559752303,85.87935904944047,112.66301660221681,54.689725330620554,70.55118110236221,77.93820750105164,10.146591848442746,1.1618619162882977,0.539378977995328,2.5685552618585093e-08,3.1151762558252474e-09,Multiple Event,mean_hr_bpm
278,113,0.4488392395545195,0.24846765130633336,0.39241712274014695,0.20684219815463864,0.17395143207847535,0.6148626877710047,1.1382355918791858,0.12023398407736596,0.31076857973275,0.6350080855498182,0.20037158824818613,1.8064292763855603,0.6634221969080758,8.112362269161584e-11,7.509981956376599e-08,Multiple Event,rr_cv
216,101,1.492743345280195,1.2664135643292838,1.5083327416102286,1.285198244248522,0.9841700157737614,2.0149030205422647,2.70805020110221,0.8472978603872037,1.6094379124341003,2.2512917986064953,0.22632978095091127,1.1787171168454593,0.3550055590632312,0.0025454984391622645,0.006304053434687885,Multiple Event,samp_en
300,116,32.20333333333333,31.189655172413794,37.0,31.5,21.75,43.0,56.0,28.0,36.0,39.0,1.0136781609195396,1.0325004606596646,0.07892298002809757,0.392197689635834,0.0009822950264624843,Multiple Event,n_peaks
300,82,12.069863082771993,10.368593591219723,9.857216731723772,9.028074066619553,9.583952545515068,10.61790214368707,27.025950196074273,8.869233300861907,9.339267985709446,15.5025308558372,1.7012694915522708,1.1640790987307026,0.3125119953417717,0.00370063870134435,1.2708506272597513e-16,Pause,mean_motion
300,82,402.90727697740084,398.0595307764851,398.8260033780091,396.0855162128647,396.19530277523154,402.4207209132048,419.0340199694795,394.33579995703843,398.80259834080596,407.873676789401,4.847746200915765,1.0121784452477733,0.2735975923645392,0.002477388502305444,3.320818405668182e-05,Pause,max_motion
300,82,50.694841913911596,49.04259283135196,49.629356947644496,49.353257609241695,49.30621235421084,50.181472605300364,56.910246057520176,49.15641936494652,49.67066543059245,50.292961355400955,1.652249082559635,1.033690084213969,0.3593375599643462,0.004683868007548018,6.0344807185133604e-05,Pause,std_motion
300,82,3.1054159536077064,2.216913384620307,1.8706089430920447,1.2266144008411528,1.6584543630970283,2.212103312773217,9.525437015904608,1.1144288023993698,1.4237716825143687,6.315044697583029,0.8885025689873993,1.4007836188600458,0.24376338768767314,0.02668191140688884,2.2152056378128708e-18,Pause,median_motion
300,82,37.330052724190644,41.775650742979266,40.66940635763761,43.76747817282299,37.495037241588854,41.46437790942092,42.43967872399666,42.57371328171399,44.41890037357824,45.10170245759569,-4.445598018788623,0.8935839911593539,-0.4097630474473897,0.004701862531440701,1.0919436071528446e-16,Pause,peak_ratio
300,82,26.08802056803005,36.571400472069236,27.741935483870968,41.61290322580645,23.225806451612904,31.61290322580645,36.774193548387096,35.64516129032258,45.16129032258064,50.90322580645161,-10.483379904039186,0.7133448604997864,-0.9286173361836528,1.6157291204659293e-09,6.641407426118912e-17,Pause,zero_motion_pct
300,82,13.605302213352468,8.560041456126097,0.5003541536947864,5.017774142322895,0.08277312314845764,2.8877276773354397,61.72710599659764,4.588968341098628,6.663798695453545,23.33514113318899,5.045260757226371,1.5893967667195898,0.15498406248887953,0.07976312422003648,1.2253778104125908e-17,Pause,kurt
300,82,0.030862329646739337,0.0017965047566570686,0.002109336846154055,0.001164021916088642,0.0009105150793870913,0.003983338211735205,0.008846003320261349,0.00028341154027086924,0.0022700276408838408,0.00611676360746818,0.02906582489008227,17.17909709527732,0.15683281525744938,0.056133433299193604,7.2375135969354805e-06,Pause,baseline_drift
300,82,0.6515622496542376,0.8804661381071945,0.6538645556660772,0.9725045094880967,0.42756556216798197,0.7354977953908975,1.0688233663656703,0.8542634775369686,1.0603939755750604,1.1964691034991315,-0.22890388845295695,0.7400196571499624,-0.5486525299814385,4.457827676135801e-06,3.546490157707846e-15,Pause,snr_proxy
