window_id,t_start_s,t_end_s,activity,motion_mg,p_2,p_4,p_5,p_6,p_93,p_98,p_142,detections
3B8D_w0077,803.0,813.0,gesticulate,0.75,0.007,0.027,0.075,0.034,0.017,0.023,0.001,-
3B8D_w0078,813.0,823.0,gesticulate,0.73,0.008,0.039,0.095,0.033,0.018,0.024,0.001,-
3B8D_w0079,823.0,833.0,gesticulate,0.71,0.008,0.024,0.093,0.049,0.015,0.015,0.001,-
3B8D_w0080,833.0,843.0,gesticulate,0.71,0.007,0.023,0.089,0.044,0.018,0.022,0.002,-
3B8D_w0081,843.0,853.0,gesticulate,0.74,0.008,0.039,0.116,0.025,0.023,0.021,0.001,-
3B8D_w0082,853.0,863.0,gesticulate,0.73,0.007,0.038,0.126,0.044,0.021,0.016,0.001,-
3B8D_w0083,863.0,873.0,gesticulate,0.72,0.003,0.026,0.134,0.052,0.02,0.014,0.001,-
3B8D_w0084,873.0,883.0,gesticulate,0.74,0.008,0.034,0.078,0.031,0.009,0.012,0.001,-
3B8D_w0085,883.0,893.0,gesticulate,0.98,0.009,0.017,0.107,0.051,0.013,0.012,0.001,-
3B8D_w0086,893.0,903.0,gesticulate,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0087,903.0,913.0,gesticulate,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0088,913.0,923.0,gesticulate,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0089,923.0,933.0,gesticulate,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0090,933.0,943.0,gesticulate,0.82,0.018,0.128,0.38,0.1,0.044,0.085,0.003,-
3B8D_w0091,943.0,953.0,walk_before,0.74,0.011,0.023,0.073,0.035,0.016,0.017,0.001,-
3B8D_w0092,953.0,963.0,walk_before,0.69,0.015,0.026,0.078,0.023,0.013,0.014,0.001,-
3B8D_w0093,963.0,973.0,walk_before,0.72,0.008,0.018,0.094,0.022,0.014,0.014,0.001,-
3B8D_w0094,973.0,983.0,walk_before,0.73,0.009,0.024,0.078,0.031,0.014,0.014,0.001,-
3B8D_w0095,983.0,993.0,walk_before,0.77,0.008,0.035,0.099,0.026,0.011,0.014,0.001,-
3B8D_w0096,993.0,1003.0,walk_before,0.7,0.006,0.02,0.099,0.023,0.014,0.018,0.001,-
3B8D_w0097,1003.0,1013.0,walk_before,0.75,0.008,0.018,0.139,0.058,0.014,0.016,0.001,-
3B8D_w0098,1013.0,1023.0,walk_before,0.73,0.005,0.031,0.13,0.029,0.015,0.019,0.001,-
3B8D_w0099,1023.0,1033.0,walk_before,0.82,0.008,0.04,0.318,0.121,0.026,0.035,0.002,-
3B8D_w0100,1033.0,1043.0,walk_before,0.89,0.018,0.043,0.092,0.108,0.012,0.025,0.001,-
3B8D_w0101,1043.0,1053.0,walk_before,1.02,0.009,0.032,0.179,0.215,0.021,0.028,0.001,-
3B8D_w0102,1053.0,1063.0,walk_before,1.16,0.028,0.047,0.057,0.074,0.018,0.025,0.002,-
3B8D_w0103,1063.0,1073.0,walk_before,1.07,0.02,0.059,0.077,0.072,0.018,0.034,0.002,-
3B8D_w0104,1073.0,1083.0,walk_before,1.06,0.023,0.046,0.095,0.09,0.015,0.021,0.001,-
3B8D_w0105,1083.0,1093.0,walk_before,1.09,0.02,0.047,0.109,0.096,0.017,0.022,0.001,-
3B8D_w0106,1093.0,1103.0,walk_before,0.98,0.015,0.061,0.091,0.102,0.019,0.039,0.001,-
3B8D_w0107,1103.0,1113.0,walk_before,0.98,0.013,0.065,0.134,0.156,0.029,0.038,0.002,-
3B8D_w0108,1113.0,1123.0,walk_before,1.02,0.023,0.053,0.115,0.17,0.028,0.037,0.001,-
3B8D_w0109,1123.0,1133.0,walk_before,1.09,0.016,0.06,0.093,0.083,0.016,0.028,0.001,-
3B8D_w0110,1133.0,1143.0,walk_before,1.18,0.023,0.072,0.087,0.095,0.019,0.043,0.002,-
3B8D_w0111,1143.0,1153.0,walk_before,1.16,0.022,0.053,0.1,0.08,0.02,0.033,0.001,-
3B8D_w0112,1153.0,1163.0,walk_before,1.2,0.02,0.069,0.107,0.132,0.018,0.043,0.001,-
3B8D_w0113,1163.0,1173.0,walk_before,1.17,0.018,0.06,0.172,0.13,0.028,0.038,0.001,-
3B8D_w0114,1173.0,1183.0,walk_before,1.2,0.017,0.067,0.181,0.216,0.023,0.042,0.002,-
3B8D_w0115,1183.0,1193.0,walk_before,1.11,0.018,0.054,0.077,0.093,0.025,0.037,0.001,-
3B8D_w0116,1193.0,1203.0,walk_before,0.78,0.007,0.045,0.102,0.036,0.023,0.021,0.001,-
3B8D_w0117,1203.0,1213.0,walk_before,0.76,0.009,0.05,0.099,0.035,0.019,0.021,0.001,-
