dynamic_range_mv,flat_pct,clip_pct,baseline_drift,hf_noise_ratio,snr_proxy,kurt,n_peaks,mean_hr_bpm,rr_cv,pct_physiologic_hr,sqi_score_ecg,mean_motion_mg,std_motion_mg,max_motion_mg,sqi_score_amb,sqi_class,activity_label,subject
3.2019664645195007,0.0,2.12,0.17538798506561254,0.015065562223231077,1.3701647200671296,3.147668965224603,26,156.25,0.010909682003737013,100.0,0.7211975664925092,1.721137896148279,5.363106131526244,234.02065852042585,0.7087847618695075,good,run,03FH
3.2419354915618896,0.0,2.92,0.12298394152077906,0.016245215774299004,1.5459868941720067,3.906764012209157,26,157.89473684210526,0.010991020410710756,100.0,0.7449875177610148,1.789966526864928,5.04228853458411,235.3246110473501,0.7316524905637707,good,run,03FH
3.423928678035736,0.0,2.16,0.2450651043152861,0.01159634858520558,0.9870800922814974,2.5369652970959757,26,156.25,0.007763840571457882,100.0,0.6790282645403997,1.6808259575410804,4.0148119048807205,143.05978609072434,0.667614981210964,acceptable,run,03FH
3.3099341690540314,0.0,2.2399999999999998,0.2177383203024075,0.014922787006225041,1.1947148615131384,3.151974261193221,26,155.440414507772,0.007890365428025427,100.0,0.7063317832158938,1.6897672283566725,3.762822684080911,139.77565393379044,0.6943964202196443,acceptable,run,03FH
3.153923749923706,0.0,2.56,0.16796826720806132,0.015315469755995906,1.4274641804802353,3.8107251337729755,26,154.63917525773195,0.0070432378469082405,100.0,0.7349081384371847,1.6240356518286558,3.6956122612647975,137.79772244220544,0.7229729682607745,good,run,03FH
3.6609008461236954,0.0,2.02,0.1872026204200182,0.013242914894998892,1.4333599902466347,3.1079552109550397,26,153.84615384615384,0.007424124193613089,100.0,0.7259201101308516,1.581672197443663,3.9622021224126454,154.92782916243075,0.7144384335732594,good,run,03FH
3.398969292640686,0.0,2.54,0.23176024065083675,0.012382823791160133,1.214809961118053,2.816881543463448,26,156.25,0.004885849737092509,100.0,0.7024227268852669,1.613477411136397,5.331434155734651,272.00408592484257,0.6910892948562848,acceptable,run,03FH
3.215952694416046,0.0,2.96,0.19398500806874358,0.017910287568215506,1.3134212030520063,3.0219955466666013,26,156.25,0.005794804293699661,100.0,0.7129574562858613,1.6439926903369189,5.315039522515773,272.90145225437254,0.7012364878193097,good,run,03FH
3.155970573425293,0.0,1.78,0.12451730238162852,0.012070179313286264,1.6949880879612569,4.4391602100388745,26,157.89473684210526,0.006972597015024487,100.0,0.7665298632758532,1.6626444733467902,4.830475027557107,225.20156472600183,0.7537851968675445,good,run,03FH
2.8899455666542053,0.0,2.74,0.07204587439102807,0.016868986392287594,1.814853574086168,6.27731494125795,26,157.89473684210526,0.005185991008665149,100.0,0.8008487299220438,1.6528633000810922,5.04114914966531,221.14572522912613,0.7876117951759968,good,run,03FH
3.0759753584861755,0.0,0.6799999999999999,0.1757560598197929,0.013376583421036536,1.7697490973836547,4.165505098859826,27,160.0011377858687,0.01075729740513045,100.0,0.7700732127581907,1.64030948154815,5.863863342306056,293.98670211134623,0.7574416288344556,good,run,03FH
3.1529003381729126,0.0,0.8999999999999999,0.1363751292384035,0.011668455788775657,1.7136800113548172,4.432815955483096,27,163.04347826086956,0.005042062368011019,100.0,0.7695701136596643,1.5738723407526727,5.515839322898739,292.68842898174006,0.757458062498076,good,run,03FH
2.9749438762664795,0.0,1.9,0.08672548421557033,0.013291310943567003,1.5450662355201887,5.2547917234548756,28,163.9344262295082,0.003941283590054715,100.0,0.7671765497529995,1.6937542650614676,5.417084245116654,277.5598336840126,0.7541824642210068,good,run,03FH
2.7749276757240295,0.0,0.5,0.11543130069337329,0.021721664160324446,1.938081457587198,6.271264236061942,27,163.04347826086956,0.003928321396194631,100.0,0.8137657827306689,1.6433087912352593,5.572741037887888,272.15068003638555,0.8003930980829914,good,run,03FH
2.8279733657836914,0.0,2.58,0.08963743281503961,0.013797546575158717,1.5369323830896453,6.982041777199452,27,163.04347826086956,0.0044990316282830034,100.0,0.7910937371293533,1.843414613491928,7.495477990468078,410.1275839731111,0.7765105995726914,good,run,03FH
3.111964762210846,0.0,0.0,0.07415834951775033,0.013551157801055756,1.8328297425054858,5.6869626168570715,27,161.29032258064515,0.009349311595026383,100.0,0.7987416595148021,1.8624044381747165,7.864415436164189,409.5344464254562,0.7838658593984481,good,run,03FH
3.0869484543800354,0.0,1.6199999999999999,0.06749851193252686,0.013775753363736157,2.96096380224637,5.4980376250291325,27,163.04347826086956,0.0074392048506270346,100.0,0.8560530762730318,1.7504757250722818,5.4655662449225675,227.21589951802267,0.8410680749791378,good,run,03FH
